DateTime,ElapsedSeconds,ESP32_UID,MouseID,Sex,Strain,LibraryVer,Program,FR,Event,PelletCount,LeftCount,RightCount,CenterCount,BlockPelletCount,BlockPokeCount,RetrievalTime,PokeDuration,DispenseError,MotorTurns,Motion,Temperature,Humidity,Pressure,GasResistance,Lux,White,FreeHeap,HeapSize,MinFreeHeap,WakeCount,BatteryVoltage,BatteryPercent
2026-06-29 11:51:53,67.156998,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Startup,0,0,0,0,0,0,,,,,0.0,24.3,41.7,993.5,15.0,2.545,1228.000,253104,344900,250888,0,4.19,100.00
2026-06-29 11:52:04,78.275002,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,PelletDrop,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2026-06-29 11:52:25,98.808998,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,PelletTaken,1,0,0,0,0,0,TimedOut,0.000,0,2,,,,,,,,,,,,,,,,
2026-06-29 12:01:04,618.435974,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,1,0,0,0,0,0,,,,,Disabled,24.5,38.4,993.5,16.3,2.246,822.000,254068,344900,250888,23,4.19,100.00
2026-06-29 12:11:17,1231.204956,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,1,0,0,0,0,0,,,,,Disabled,24.6,38.8,993.4,16.6,2.246,820.000,254068,344900,250888,48,4.18,99.88
2026-06-29 12:21:29,1843.989014,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,1,0,0,0,0,0,,,,,Disabled,24.7,38.9,993.4,16.6,2.239,823.000,253976,344900,250888,73,4.17,99.40
2026-06-29 12:31:42,2456.757080,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,1,0,0,0,0,0,,,,,Disabled,24.7,39.1,993.3,16.7,2.246,824.000,253976,344900,250888,98,4.17,99.08
2026-06-29 12:41:54,3069.525879,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,1,0,0,0,0,0,,,,,Disabled,24.7,39.1,993.3,16.8,2.254,824.000,253976,344900,250888,123,4.17,98.77
2026-06-29 12:52:07,3682.310059,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,1,0,0,0,0,0,,,,,Disabled,24.8,39.1,993.2,16.8,2.250,822.000,253976,344900,250888,148,4.18,98.29
2026-06-29 13:02:29,4304.550781,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,1,0,0,0,0,0,,,,,Disabled,24.8,40.0,993.1,16.7,0.263,130.000,253976,344900,250888,174,4.16,97.98
2026-06-29 13:12:42,4917.334961,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,1,0,0,0,0,0,,,,,Disabled,24.8,40.6,993.1,16.6,0.180,98.000,253976,344900,250888,199,4.16,97.66
2026-06-29 13:22:54,5530.125977,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,1,0,0,0,0,0,,,,,Disabled,24.9,40.7,993.0,16.5,0.234,120.000,253976,344900,250888,224,4.16,97.34
2026-06-29 13:33:07,6142.895020,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,1,0,0,0,0,0,,,,,Disabled,24.9,41.1,993.0,16.3,0.176,82.000,253976,344900,250888,249,4.16,97.03
2026-06-29 13:43:19,6755.679199,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,1,0,0,0,0,0,,,,,Disabled,25.0,41.2,992.9,16.2,0.101,60.000,253976,344900,250888,274,4.16,96.71
2026-06-29 13:53:32,7368.448242,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,1,0,0,0,0,0,,,,,Disabled,25.0,41.1,992.9,16.1,0.101,62.000,253976,344900,250888,299,4.15,96.39
2026-06-29 14:03:44,7981.216797,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,1,0,0,0,0,0,,,,,Disabled,25.0,40.9,992.8,15.9,0.133,76.000,253976,344900,250888,324,4.15,96.08
2026-06-29 14:13:57,8594.000977,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,1,0,0,0,0,0,,,,,Disabled,25.1,40.7,992.7,16.0,0.122,77.000,253976,344900,250888,349,4.14,95.76
2026-06-29 14:24:09,9206.769531,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,1,0,0,0,0,0,,,,,Disabled,25.1,40.5,992.6,15.9,0.151,84.000,253976,344900,250888,374,4.14,95.45
2026-06-29 14:34:22,9819.539062,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,1,0,0,0,0,0,,,,,Disabled,25.2,40.4,992.6,16.0,0.187,98.000,253976,344900,250888,399,4.14,95.13
2026-06-29 14:44:35,10432.345703,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,1,0,0,0,0,0,,,,,Disabled,25.2,40.3,992.5,16.0,0.194,106.000,253976,344900,250888,424,4.14,94.81
2026-06-29 14:54:47,11045.115234,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,1,0,0,0,0,0,,,,,Disabled,25.2,40.2,992.5,15.9,0.115,68.000,253976,344900,250888,449,4.15,94.50
